"portugues","tupi"
"Teus pecados estando a aumentar, com efeito","nde rekomemûã rumõ-rumõmo nhẽ"
"Eu sou fujão","xe kanhemixûer"
"Eis que aqui estou","aín"
"Eu não tenho resistência","na xe rosangi"
"As pedras ficaram-se quebrando ao meio","itá oîeká-îeká o îopyterybo"
"Jesus, senhor da virtude","îesu, tekokatu îara"
"Ainda o faço","a'é byter i monhanga"
"Contigo quero estar","nde irũnamo aîkó-potá"
"Eu tenho barba ruiva","xe rendybá-aîub"
"Ainda que eu fosse","îepémo asó"
"Os que têm a bem-aventurança são os que choram","tekokatueté rerekoara oîase'oba'e"
"característica de homem mau","apŷabaíba rekoaba é"
"Ungir o padre com óleo bento o que supõe morrer","nhandy-karaíba pupé abaré omanõ-mo'angyba'e pytuba"
"Eu tenho pés tortos","xe are'a"
"o que se defronta com a morte","tegûama porarasara"
"Logo depois que morrerem irão para o céu os que foram assim desse jeito?","o manõ riremẽ serã emonã nungara sóû ybakypene?"
"botão da roupa","aoba potãîa"
"A mirra de polpa era o anúncio de sua futura morte pela gente","to'o suí mirra moroesé se'õagûama mombegûaba"
"Sofrerá também alguma coisa ali estando?","oîporará abépe mba'e amõ eboûĩme oîkóbone?"
"Que nós sejamos corajosos","t'oré pyatã"
"Segundo seu costume, certamente Deus perdoará a ti, afinal","o poekûabo ipó tupã nhyrõnamo ndebe ko'yténe"
"Ali atacando as moças, por desejá-las","a'epe kunhãmuku repenhana, i potasápe"
"Matador de nossa alma","îandé 'anga îukasara"
"Deve ter ido","osó ipó re'ĩ"
"Por isso mesmo eles estão felizes, pela permanência dele junto à casa de Deus","nd'e'i te'e og orybamo, tupãó-pyri i pytasagûera resé"
"Deleitaste-te no teu sonho com ela?","ereîmborype sesé nde posaûsubagûera?"
"Bem com os meus olhos vi que tu as escondeste","xe resá pupé-katu asepîak nde i mimagûera"
"Calcei-me os sapatos","aîepyapasá-mondeb"
"Excitaste teu órgão sexual, lembrando-te de mulheres?","ereîmoanĩpe nde remimborará, kunhã resé nde ma'enduaramo?"
"Eu tenho muito preço","xe repy-etá"
"Seus antigos pecados fazendo estar diante deles, seus furtos também","sekomemûãagûera serekóbone sobaké bé i nhemondá bé"
"tentando inutilmente o modo antigo de falar","o nhe'engabûera ra'angyîepébo"
"Como dirá a gente em seu coração, olhando para o céu?","marã e'ipe asé o py'ape ybaka resé oma'ẽmone?"
"Mudei-a","aseyî"
"Tendo relações sexuais com mulheres diante de sua companheira","o apixara robaké kunhã resé oîkóbo"
"Reformo-o nos costumes","asekonongatu"
"Inchei-me muito as bochechas","anhemoatypygûasu"
"Fazei a Deus Nosso Senhor perdoar a mim","peîmonhyrõ tupã îandé îara ixébo"
"Eis que minha condição, na verdade, é assim","xe rekó anhẽ nhẽ nakó emonã"
"Fi-lo estar como forro, alforriei-o","abaetéramo aîmoingó"
"Oxalá não fosse eu","na xe ruã-eté ikó mã"
"Vereis também, futuramente, minha vinda sobre as nuvens","pesepîak irã ybytinga 'arybo xe rura béne"
"Nosso inimigo vencendo para sempre","oré sumarã reîtyka memẽ"
"Então, alguns matarei, no meu laço fazendo-os cair","a'ereme amõ aîukáne, xe îusanyme i mbo'a"
"Eu hoje o lombo deles","xe kori i pyîaso'o"
"Não faz efeito, às vezes, nosso remédio, fazendo avivar mais a doença, às vezes por sua ineficácia em afastá-la","sarûab amõme asé posangygûaba, mara'ara moîerobu-bé-uká, amõme i pe'arunga o arûabíreme"
"Eis aqui meu arco, eis aqui as farpas","kobé xe îurupara, kobé arupare'aka"
"Eu estou liso","xe sym"
"Seus antigos companheiros dei aos índios","irũmbûera aîme'eng abá supé"
"Não há ali choro, não há doença, não há fome, sede também não há","n'i tybi a'epe îase'o, mba'easy n'i tybi, n'i tybi ambyasy, 'useîa bé n'i tybi"
"Ainda que eu já fosse","aûîebé-te xe só-umani"
"Por isso mesmo os moços entram sempre no lugar de beber cauim","nd'e'i te'e kunumĩgûasu oîkébo memẽ kagûápe"
"Assim como tu não queres que alguém furte de ti tuas coisas, guarda-te de furtar as coisas de alguém","nde îosuí nde mba'e resé abá mondarõ nde i potare'yma îabé, teumẽ abá mba'e resé é mondarõmo"
"maço de flechas","u'u-mana"
"Viram os anjos a Deus, seu criador, quando ele começou a criá-los?","osepîápe karaibebé tupã o monhangara o monhang-ypyreme?"
"Flechei-os todos","aîybõ-mbá"
"Eu somente nesta aldeia morava","xe anhõ kó taba pupé aîkó"
"Está por aí teu pai?","oubépe nde ruba?"
"Mostram-se a urdir mentiras, ficando a provar poções","e'i mo'ema monhanga, mosanga ra'ã-ra'anga"
"Livrou-a do pecado primeiro em que Adão nos pôs","i pysyrõû tekoangaîpabypy adão îandé nongaba suí"
"Dá-me ânsia de vômito minha comida","xe mbouk xe remi'u"
"Caí doente","xe mba'easy-'ar"
"Batizou-me, verdadeiramente, o padre","xe reroketé pa'i"
"Eu estou muito arrepiado","xe pita'i-ta'i"
"Aqueles velhos reis fedorentos?","-akó tubixanẽmbûera?"
"Vestir os nus","ikatupendûara moaoba"
"Tratei bem das aflições de minha família","arekó-angaturã xe anama poreaûsuba"
"O que tu escondeste, na verdade, onde tu roubaste?","nde remimimbûera, anhẽ, umãmepe nde mondá?"
"canavial","takûare'ẽ-ndyba"
"E os judeus a um homem não mandaram tomar aquela cruz?","nd'ogûar-ukarype îudeus a'e cruz abá supé?"
"Tu mesmo dizes isso","endé é aîpó eré"
"de uma só parte, de um só lado","amongoty nhõ"
"Querendo o abrandamento de nossa doença","asé mba'easy arybé potá"
"poeira da terra","yby tubyra"
"Eles são, realmente, muito fortes","satãngatu-te nipó"
"No final de minha fala, ele falou","xe nhe'enga apyrûerype ahẽ nhe'engi"
"bolota de sal","îukyrapu'a"
"Sentir o toque nas coisas","mba'e resé mokoka anduba"
"Faz a cruz em nossa testa com ele","asé sybasab i pupé"
"Sumiu a canoa de mim","okanhem ygara xe suí"
"Isso Nosso Senhor impede, repelindo-o das pessoas","anga îandé îara oîmoabaíb, morosuí i mondóbo"
"muito maior","turusu-katu-eté"
"Esmigalhei-o","aîkumirik"
"Logo, decerto, passarás no lugar em que moro, chegando","koromõ ipó eregûatá xe rekoápe, eîepotáne"
"Vamos dar uma volta, primeiro","îaîebyîeby ranhẽ"
"Hei de ir obedecer a essas palavras","t'asó aîpó nhe'enga mopó"
"Antes que ele agonize verdadeiramente, que vá alguém me chamar","i mara'areté e'ymebé t'osó abá xe renõîa"
"os daqui","keygûara"
"Digo que não","aan a'é ipó ixé re'a"
"Ah, que atrevido é esse fulano!","tekatunheté kó ahẽ mã!"
"o que não é conhecido, coisa secreta","i kuabypyre'yma"
"Hei de ir tocar tuas pálpebras","t'asóne nde ropé syka"
"Hoje, assim, de modo nenhum impedem nossa estada","kori, nã, îandé rekó îandé moarûapa angá"
"Como seus discípulos procederam vendo tratar assim a seu senhor?","marãpe i boîá rekóû emonã o îara rerekó repîaka?"
"Vamos, como nós, para enfeitar nossas almas, para levá-las diante dele","t'îasó îandé îabé îandé 'anga moîegûaka, serasóbo sobaké"
"Esses, enfim, não diferem da cobra, isso porque a cobra, antes de fazer destruir a vida daquele que morde, deixa sua própria vida ao pisarem sua cabeça","aîpoba'e tene nd'oîabyî mboîa, mba'etakó mboîa o emindu'u rekobé mokanhemukar-y îanondé, o ekobé reîari o akanga patukasagûerype"
"Adiantei-me","akûabĩ"
"A crença na dança enche os corações deles","moraseîa rerobîara i py'a îaîporaká"
"Grande é meu cansaço","turusu xe kane'õ"
"Em tua direção fazendo-me voltar","nde koty xe rerobaka"
"Então os anjos virão, chamando os mortos, tocando trombetas","a'ereme karaibebé ruri, te'õmbûera renõîa, mimbygûasu pŷabo"
"Deseja ardentemente ver o nascimento de seu filho que se gera em seu ventre","o membyra gûygépe onhemonhangyba'e 'arama osepîaka'ub"
"Arrepende-se muito de seus pecados em seu coração","omboasy-katu o angaîpaba o py'ape"
"Tendo saudades do nenenzinho, vim de minha casa","pitangĩ repîaka'upa, aîur xe roka suí"
"O oposto do comer demais é comer somente o suficiente","mba'e 'u-eté-eté robaîara oîá nhote mba'e 'u"
"Para onde Pilatos retirou-o, então?","mamõpe pilatos senosemi a'ereme?"
"Após fazer a São João Batista, seu primo, batizá-lo","são joão batista o i'yra pé onhemoîasuk-ukar'iré"
"Eia, hei de ir contigo!","ne'ĩ t'asó nde irũmo!"
"Não querendo que se apague a luz de nossa alma","asé 'anga resapesaba gûeba potare'yma"
"Ficamos bradando, como desterrados","orosapuká-pukaî i pe'apyramo"
"Como vês, eu sou muito forte, um diabo que domina as guerras","irõ, xe ratãngatu, anhanga maranyîara"
"Quem é? Quem está aí?","abá-pipó?"
"O sol brilha, certamente, após passar a grande noite","kûarasy, nipó, oberá, putunusu kûab'iré"
"Ela tem folhas","sob"
"o que está preso em ferros, o que está amarrado pelos pés","i pukusãmoinymbyra"
"Melhor que isso me seria, pois, morrer","i xosémo nã ky xe re'õ"
"Faremos o que ele fez","semimonhangûera îamonhangyne"
"Que disseram os judeus, acusando-o?","marã e'ipe îudeus i xupé, i mombegûabo?"
"Todos os lugares preenche","opakatu mamõ mopori"
"Que eu me lave a boca","t'aîeîuru-eî"
"o que é viúvo, o viúvo","seremirekoe'õba'e"
"Com o bafo de sua boca sopra-nos o rosto","o îuru timbora pupé asé robá peîuû"
"Insultam-se as velhas, odeiam-se","oîoa'o-a'o gûaîbĩ, oîoamotare'ỹ"
"Dessa maneira, vens para afastar nossa escuridão","emonãnamo, ereîu oré putuna pe'abo"
"Faze sumir meu tentador","emokanhem xe ra'angara"
"O anjo entrou para junto dela","karaibebé reîkéû i xupé"
"Estou quieto","aîubĩote"
"Embora tão somente uma vez uns anjos tenham transgredido a palavra de Deus, por causa disso, somente, Deus os fez ser diabos","oîepé nhõngatu erimba'e karaibebé tupã nhe'enga abyû biã, sesé nhõ tupã i moingóû anhangamo"
"Eis aqui meus chifrões, meus dentes","kó xe 'akusu, xe ranha"
"Os bem-aventurados e os santos no céu, que vêem a Deus, ultrapassam o número dos dias que o ano tem","marangatuba'e, santos, ybakype tupã repîakaretá, osasá 'ara ro'y remierekó papasaba"
"Enfileirei-o","asysyrung"
"Eu sou pequeno!","xe mirĩ!"
"Tataurana, traze aqui tua muçurana!","tataûrana, eru ké nde musurana!"
"Eis que estorvas muito tua vida, dificultando-a","ereîmoarûabeté ã nde rekó, i moabaípa"
"Estou quieto","ainĩ"
"Eis que procuramos Jesus de Nazaré","iesus nazareno ikó orosekar"
"Para ele trouxeram, como oferendas, ouro, resina dura que recende e mirra","i xupé ogûeru îetanongabamo itaîuba, ysykatã syapûãba'e, mirra"
"Ao fustigar o sol a terra, eu vim","ara yby sokeme, xe ruri"
"Eu sou muito bochechudo, eu tenho bochechas grandes","xe retobapegûasu"
"Com sua própria irmã não pode ninguém se casar","o endyra resé nd'e'ikatuî abá omendá"
"Eu sou arredio","xe îeîaî"
"Somente o domingo que está no meio dela","domingo anhõ i pytera rupi okûaba'e"
"""o chupa-fogo""","tatá-pytera"
"Ah, eu fui muito pecador!","xe angaîpabeté'ĩ ra'u mã!"
"Afirmamos que isso é o que deve ser enaltecido","îamombe'u aîpó i momorangymbyra"
"Está molestando as pessoas, fazendo-as cair em erro","oporomoaîu oîkóbo, oporomotekokuabe'yma"
"Jogou o pagamento por seu senhor no templo, indo finalmente enforcar-se","o îara repypûera reîtyki tupãokype aûîé osóbo oîeaîubyka"
"Cobriste tua esposa quando sucedia o sangue dela ?","ereîopykype nde remirekó, sugûy sekóreme?"
"Embora eu fosse","aûîebé-temo asó"
"Oh, por acaso isto é o diabo?!","îu, anhangap'ikó ri?!"
"Escondo-me bem","aîemĩngatu"
"remédio portador de cura","mosanga moeîrabyîara"
"Tu fizeste agressão com palavras a alguém?","nde nhe'ẽporoîukaípe abá supé?"
"Por isso mesmo, a pessoa que deseja a virtude mirra-se de corpo","nd'e'i te'e abá tekokatu potasara gûo'opore'yma"
"antes de irem para lá","a'epe o só îanondé"
"Estou quieto","aîubĩ"
"Entrando em tua casa, visitando-te imediatamente","nde rokype oîkébo, nde supa aûnhenhẽ"
"Eu estou hirto","xe aparatã"
"Eu me derreti","xe ryku"
"vida eterna","tekobé-apyrasye'yma"
"Morrendo nós","îamanõmo"
"Aqui vem um urutaurana","ké urutaûrana ruri!"
"Não ficou ninguém no lugar da batalha","n'opytáî amõ abá maranápe"
"Caem às vezes os frutos de suas árvores, sendo ainda flores, outras vezes em seu estado verde, outras vezes após amadurecerem caem","okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî, amõ rakó ogûaîub'iré i kuî"
"Livra-nos tu","oré pysyrõ îepé"
"Sua mãe afável também arranca a ferocidade dele","i xy-îerekûaba abé oîo'ok i abaeté"
"Que mais?","mba'epe amõ?"
"Virá de novo Jesus Cristo do céu, futuramente?","our-y bépe irã îesu cristo ybaka suíne?"
"Nele os judeus juntaram-se para ficar atirando pedras em Santo Estêvão","i pupé îudeus nheŷnhangi santo estêvão apîá-apîábo"
"Eu estou benzido","xe karaíb"
"Todos gostaram delas","i apysyk pabẽ sesé"
"Jazo imóvel","aîubé"
"Já se juntaram por causa disso muitos moços bebedores de cauim, os pervertedores desta aldeia","onheŷnhang umã sesé kunumĩ-etá kagûara, kó taba moangaîpapara"
"Dizem que o homem fez assim antes","emonã îé abá rekóû rãé"
"Quem o fez outrora, começando a pronunciá-lo?","abápe aîpoba'e oîmonhang erimba'e, sa'angypŷabo?"
"o que vai","osoba'e"
"Eis que aqui estou como teu filho pecador","kobé aîkó nde ra'yrangaîpabĩnamo"
"Como o trataram ao dizer ele isso?","marãpe ybŷá serekóû aîpó i 'ereme?"
"Que tenhamos, em sua terra, junto de ti, a vida eterna","t'orogûerekó, setãme, nde pyri, tekopuku"
"no vértice, no ápice","apyteri"
"o que Deus faz, o feito de Deus","tupana remimonhanga"
"propondo ser bom","xe katurama momboîa"
"Fiz-me mulher","anhemokunhã"
"Daqui, certamente, passou para a Índia, terra dos indianos","ké suí serã i asabi india tapyîtinga retãme"
"Tu, finalmente, perdoa a mim","nde nhyrõ-tene xébo"
"Eu não sou constante","na xe rekoposyî"
"Esses, na verdade, não honram a Deus","a'e ipó tupã n'omoangaturami"
"Passaste à frente de tudo, nosso inimigo vencendo para sempre","opá ereîopûã, oré sumarã reîtyka memẽ"
"Vai para trazer um pouco dela","ekûãî îá reru"
"Concluo que talvez isso seja assim","emonã ûĩ re'a a'é"
"Transgride também alguém a palavra de Deus não mandando comungar a seu filho que é comungante antigo?","oîaby bépe abá tupã nhe'enga o a'yra tupãrasarymana supé tupãrarukare'yma?"
"campo limpo","nhũasyma"
"Seu sangue era muito","sugûy turusu"
"Ai! Não há absolutamente servos meus","akaîgûá! n'i tyb-angáî xe boîá"
"o que informa, o que avisa","momorandupara"
"Fico girando em círculos, fico rodeando","anhatimã-timanĩ"
"Arrepender-nos-emos, de coração, dos maus procedimentos","îaîmoasy marãtekoagûera îandé py'a suíne"
"Eu fui mentiroso dizendo isso","xe remo'em aîpó gûi'îabo"
"Ainda bem que existes, ó meu senhor!","aûîebeté ereîkó xe îar-y gûé!"
"Faço a brincadeira, o jogo","nhemosaraîa aîmonhang"
"Destruiu outrora os tamoios, os valentes","tamũîa, kyre'ymbagûera, omombab erimba'e"
"o que está preso em ferros, o que está peado","i pukusamba'e"
"Que possa conhecer-te meu pai Tupinambá!","t'e'ikatu nde kuapa xe ruba tupinambá!"
"Que reparta teu filho um pouquinho de virtude conosco","t'oîmoîa'ok nde membyra tekokatu'ĩ amõ orébe"
"Faço as coisas devagar","a'é umanĩ mba'e monhanga"
"doença superficial, indisposição, doença fraca","mba'easy-aíba"
"Mas foi, porventura?","osó ruã-tepe é?"
"Amortalhei-os","aîapyear"
"São Pedro, com seus companheiros, tomou como apóstolo a São Matias, após subir Deus-Filho ao céu","são matias, ybakype tupã ta'yra îeupir'iré, s pedro o irũ-etá resebé tari apóstoloramo"
"Um homem ladrão que foi posto na prisão como pena de chacinas","abá-mondá morapitîagûera repyramo mundeokype i mondebypyrûera"
"Prega-o na cruz","eîmoîar ybyraîoasaba resé"
"Daqui, talvez, passou para a Índia, terra dos indianos","ké suí serã i asabi india tapyîtinga retãme"
"Com sua própria filha ninguém se casa","o aîyra resé abá n'omendari"
"Aqui está teu danador","oîkobé nde arûara é"
"Segura-o por enquanto","eîpysyk ranhẽ"
"enaltecendo vossos antigos pecados","pe rekopoxypûera momoranga"
"Desculpei-me","aîepysyrõsyrõ"
"É para mim terrível vê-los","i abaeté sepîaka ixébo"
"Faço agouros para ele","asaybõ"
"Fica aflito o padre por passar ali","oîkotebẽ abaré uĩ gûasapaûama ri"
"Assim agiu, na verdade, longe de ti","emonã rakó sekóû nde suí"
"sendo coisa antiga","o mba'epûeramo"
"Tosta alguma farinha","esapek u'i amõ"
"Maldizendo a lei de Deus","tupã rekó momburûabo"
"Vou por ir","asó nhẽ"
"Eu sou ladrão","xe mondá"
"A vida ruim lançamos fora","tekoaíba oromombó"
"Querendo afastar de si mesmo o transtorno","o îosuí pubura pe'a potá"
"Eu sou mestre","morombo'esara ixé"
"Tu te alegras quando um homem apalpa teus seios?","nde rorype nde kama abá sungáreme?"
"Fui para alcançar Pedro no rio","asó pero rupytyka 'ype"
"Hei de ir para onde me mandam Mesmo porque eu, por vontade, assim quero fazer","îé t'asóne xe mondoápe memeté ixé, xe py'ape, emonã tekó potá"
"enxada de ferro","itá-syra"
"Criancinha muito bela, creio muito em ti","pitangĩ-porangeté, orogûerobîá-katu"
"Procedeste segundo a determinação do padre a ti?","ereîkópe abaré nde moingoaba rupi?"
"instrumento de enxotar moscas, abano de moscas","mberu mondoaba"
"É certeiro esse maldito","i pûakatu kó muru"
"Eu estou molhado","xe akym"
"Que não vejam mais o sol!","t'osepîak-y bé umẽ kûarasy!"
"Em vão crêem em ti","e'i tenhẽ nde rerobîá"
"Estava longe tua lembrança das coisas, estando a conversar contigo mesmo?","oîkó kûepe mba'e resé nde ma'enduara, enhemongetábo ekupa?"
"O homem, ao morrer um filho seu, fica longamente em pranto","abá o a'yra re'õneme oîase'o-erekó-puku"
"Por esta aldeia luzir, eu estou junto de vós","kó taba renyreme, pe pyri nhẽ xe rekóû"
"Os que ele torna padres e seus substitutos na missa tomam o pão em suas mãos, benzendo-o","semimboabaré sekobîara bé missa pupé miapé rari o pópe sobasapa"
"Não vieram alguns anjos do céu?","nd'ouripe karaibebé amõ ybaka suí?"
"Fazendo-se humilde como um pobre","onhemoarûabo mba'eîare'yma îabé"
"Em terra não os mandando transformar","ybyramo i moingoukare'yma"
"Caburé, vem correndo!","kaburé, îori enhana"
"Ensaquei a farinha","au'ipuku-nhang"
"Dentro de nosso coração colocando sua lei","îandé py'a pupé sekó mondepa"
"Eia, enforca-os logo!","ne'ĩ, taûîé i aîubyka!"
"Tirei o luto","aîeaibok"
"Urdiste mentiras contra alguém, envergonhando-o, fazendo-o ser tratado como mentiroso?","eresekyîpe îuraragûaîa abá supé i motĩamo nhe'engabamo serekó-uká?"
"Fiz uma cerca de moirões","aybyrá-monhang"
"Que venha neste dia para aquecer nossa alma","t'our kó 'ara pupé oré 'anga moakupa"
"Serão fedorentos, serão muito podres, corroídos de vermes e de bernes","i nem-eté, i tuîuk-eté, tasoka, ura remimongûyamone"
"Encurtei-o","aîapûapyk"
"Não se compadeceu Deus de alguém por causa dos que descenderiam ?","n'osaûsubaripe tupã amõ abá îeapykaba'erama resé?"
"Já se juntaram por causa disso muitos moços bebedores de cauim, velhas e velhos também","onheŷnhang umã sesé kunumĩetá kagûara, gûaîbĩ, tuîba'e abé"
"lanço da ocara, a parte da ocara contida entre, por exemplo, duas ocas","okarapupa'ũ"
"Todos e quaisquer homens que morreram com o amor a Cristo","pabẽ abá tetiruã cristo raûsuba bé ogûeromanõba'epûera"
"Não desisto","na xe apori"
"Ele estava nu, cobrindo-o sua própria mãe com seu véu","i katupenhẽ, i xy aé ipó opîá o akangaobĩ pupé"
"o que está no pote, o conteúdo do pote","kamusi-pora"
"Deram-lhe de beber?","-oîmo'y'upe gûá?"
"Sei lá!","sé ruã!"
"Aqueles pregados junto dele também","aîpó i pyri i moîarypyrûera abé"
"Lembrai-vos das almas dos defuntos","penhemoma'enduar ambyra 'angûera"
"Eu sou o diabo esquentador de gente","xe anhanga moropé"
"Mas apanha, antes, meu chefe!","eîá-te xe rubixaba!"
"Uma criancinha és","pitangĩnamo ereîkó…"
"Homem coitadinho","abá-poreaûsubĩ"
"Eu também sou um porco","xe abé taîasugûaîa"
"Água é o que não tem essa ilha","y angaba'eamẽ ebokûé 'ypa'ũ"
"Enruguei-me","anheãî"
"Será que estais sossegados, como os que não vêem a morte?","pe apysykĩ serã peîkóbo te'õ repîakare'yma rame'ĩ?"
"Fico escarnecendo das pessoas","aporoîaî - escarneço das pessoas aporoîá-roîaî"
"Examinando a armadilha de alguém, tomando o seu conteúdo","abá mundé supa, i pora rá"
"meu padrinho","xe rerokarûera"
"Afasta o diabo deste dia em diante","eîpe'a îurupari kó 'ara suí"
"Arrepiei-me","aîepoká"
"Embora me evoques os atos, daqueles arrependo-me","xe rekó-ekyî îepé, a'epûera aîmoasy"
"Depois disso, o cauim transbordante nas igaçabas atrai-os","ygasápe kaûĩ-tuîa, a'e ré, îamomotá"
"Conversemos baixo, para que não o percebam os índios","mbegûé îaîomongetá, t'onhandu umẽ abá"
"Por que Deus os deu para a gente?","mba'erama resépe tupã i me'engi asébe?"
"Vituperaste pelas costas a teu pai, a teu mestre?","ereîkupeanga'ope nde ruba, nde mbo'esara?"
"Penetram os cravos dentro de tua alma","oîké itapygûá nde 'anga pupé"
"Que mal eu agi outrora","akûere'õ xe rekóû rimba'e re'ĩ"
"todos os habitantes do Paraíba","opá paraibygûara"
"madeira ou armação para futura casa","ó-kangûama"
"futuro marido","menama"
"Todos os homens foram","opá abá sóû"
"Nas minhas costas levei-o","xe aseî arasó"
"Eu espumei","xe rendyîuî"
"Abundava o amor de Deus em teu coração outrora","tynysẽ tupã raûsuba nde nhy'ãme erimba'e"
"Olhando para o órgão sexual da mulher ou do homem","kunhã koîpó abá remimborará resé oma'ẽmo"
"Eu fiz confusão","xe apaîugûá"
"A terra, todas as nuvens que caem do céu cobri-la-ão","yby opá ybytinga ybaka suí o'aryba'e i aso'iûne"
"Nós nos combatemos uns aos outros","oroîogûerekó"
"Eu tinha o pescoço caído","xe aîurar"
"Comecei-o","aîypymoín"
"Mostrando-o aos judeus, querendo fazê-lo ir, sem mais","îudeus supé sepîakuká, i mondó-nhẽ-motá"
"Ide logo daqui, apartando-vos com vosso grande fedor!","pekûá, taûîé, ké suí, pe nemeté rerosyîa!"
"coleira de ferro para prender pessoas","itá-îurutá"
"diminuto como isto","nãîbe'ĩnhot'a'ub"
"Que disse após prová-la ?","marã e'ipe sa'ang' iré?"
"Desanima, sem mais, de suas diversões também","omanõaibí o nhemosaraîtápe bé"
"Desemporcalhei-o","aseîkûaru'umbok"
"O oposto do desejo sensual é a pureza","moropotara robaîara moropotare'yma"
"doador de nossa vida","îandé rekobé me'engara"
"É certo que foi?","osó ruãpe é?"
"Por que mais a gente reconhece o dia dos santos?","mba'erama ri bépe asé santos 'ara kuabi?"
"terra avermelhada, barro","yby-pytanga"
"Levantei-me dormindo","apakaíb"
"Não obedecerá a ela","n'osapîari"
"Enquanto eu o levo","ixé serasó remebé"
"Hei de ir adiante de vós","t'akûáne pe renondé"
"Alcovitice, prostituição - não quero que ninguém as deixe","manhana, sygûaraîy - n'aîpotari abá seîara"
"Filhos de quem eram esses?!","abá ra'yrape ûĩ?!"
"Ora, experimenta-o","esa'ang ra'u"
"Alimentar os famintos","ambyasybora poîa"
"ovos de içá","ysá rupi'a"
"Dormes, Guaixará?","ereképe, gûaîxará?"
"Saiu vivendo após o enterrarem","osem oîkobébo o tym-y roîré"
"Como ele nos fez?","marãpe asé monhangi?"
"Insisti","na xe apysáî"
"coisa quente, quentura","mba'e-akuba"
"Eu tenho mestre","xe porombo'esar"
"Que estejamos perto de ti","t'oroîkó nde ypype nhẽ"
"Não","-nd'oîporaráî xûémop'asé mba'e amõ 'ara pupé oîkóbomo? - aani xûémo - não sofreria a gente coisa alguma vivendo no mundo?"
"Porventura eu não disse isso tudo?","aîpó nd'a'eî pá ky?"
"Estou na penúria","atyabor"
"Alguns ficavam batendo no peito","amõ amõ o poti'a resé opûá-pûá"
"Vários homens brancos são pecadores","karaíba amõ amõ i angaîpá"
"Eia, nós também jejuemos","pe'ĩ, îandé bé îaîekuakub"
"Que fez neste mundo depois que cresceu?","marãpe sekóû ikó 'ara pupé o kakuab'iré?"
"Em tuas mãos sentando-se, vai o menino, consolando-te","nde pópe ogûapyka, osó kunumĩ nde moapysyka"
"meu filho que gerei","xe ra'yra xe remimonhanga"
"Vamos comigo somente até Nhoesembé","t'îasó xe irũnamo nhoesembépe nhote"
"Assei","amixyr"
"Ficou saltando, reconhecendo imediatamente Jesus, seu senhorzinho","opor-oporĩ, îesu o îarĩ kuapa aûnhenhẽ"
"sujeira do menino","kunumĩ a'uba"
"O desejo sensual tornado costumeiro, a janotice, o vício, isso Nosso Senhor, após o recebermos nós em nossa alma, impede de se querer","moropotara semipokuabe'yma, arũaíba, tekó-poxy anga îandé îara îandé 'angyme îandé ogûar'iré ybŷá potara oîmoaruab"
"Permitindo sua mancebia","i agûasá repîakĩamo"
"tempo, lugar, modo, finalidade, etc de comer, de pastar","karûaba"
"Vou com Pedro","orosó pedro ndi"
"Destila tuas lágrimas","nde resa'y eîmondyky"
"o próprio Pedro, Pedro mesmo","pedro aé"
"Vamos para assaltá-la, atacando pelas costas a mãe de Deus","îasó sesé îapu'ama, tupana sy kupe'apa"
"Que pesa mais ao que está ali do que tudo o que sofre?","mba'epe sasyeté a'epe tekoara supé opakatu semiporará sosé?"
"Mato gente","aporoîuká"
"Eia, vamos logo!","ene'ĩ, t'îasó taûîé!"
"Quem foi o que o entregou?","abápe i me'engarama?"
"Eu sou rechonchudo","xe asang"
"Comeu aquele fruto, causa da morte, que Deus dissera?","o'u nhẽpe a'e 'ybá, tegûama, tupã 'îaba?"
"Esse somente é, de fato, teu nome?","aîpó nhõ-pipó nde rera?"
"Muito bem, pois! Hei de comer todo o banquete de Jacaré-guaçu!","aûîebeté, rõ! t'a'u pá îakaregûasu pepyra!"
"Oxalá fosse verdade!","anhẽ temõ turi mã - oxalá ele viesse, de fato anheté temõ!"
"Chamusquei o casco dela","aîapé-ereb"
"Que se alegrem, descansando","ta soryb, oputugûabo"
"Sendo mau","o angaîpabamo"
"O homem que tenta, sem resultado, ter relações sexuais com uma mulher, não pode casar-se","apŷaba kunhã resé o ekó osa'ang-îepeba'e nd'e'ikatuî omendá"
"seu fechamento","i 'o"
"Eis meus chifrões","kó xe 'akusu"
"Transgrediria o homem a palavra de Deus assim os conhecendo?","oîabypemo abá tupã nhe'enga emonã sekokuapa?"
"o que se envergonha","otĩba'e"
"Mencionaste o nome de alguém para o padre?","ereîmombe'upe abá rera abaré supé?"
"Já fica ansiosa por vê-lo","omoanhẽ ymã sepîakûama"
"Eu tenho bafo fedorento","xe ybĩî-rem"
"Ele mesmo está em todas as igrejas?","a'e memẽpe tupãoka îakatu i kûáî?"
"Pilei-lhe as taipas","aîybysosok"
"Ainda bem que os três, novamente, queimareis em conjunto","iîá mosapyr-y bé pekaî oîepegûasune"
"Não crêem no padre, bebendo cauim ao longo da noite","abaré nd'ogûerobîari, putuna rupi okagûabo"
"uns aos outros","o îoupé-upé"
"Enfim, os moços escondem seus muito maus procedimentos, calam-nos","aûîé kunumĩgûasu o ekoaibeté oîomim, oîkuaku"
