portugues,tupi_pred
"Digo a verdade","Añetegua añete"
"maior algum tanto","tuichavéva"
"O que não é morto","Mba'e ndojapóiva omano"
"Também não se mostra digno aquele excomungado mesquinho de ouvir a missa","Ndaipóri avei peteî mba'e vaiete ohendúva misa."
"Não tenho a ver com ele, enfim","Ndaha'éi ramo jepe, ndaha'éi ramo jepe."
"Que me livre das dificuldades","Che pytyvõ che py'a potĩgui"
"Eu estou com doença venérea","Che apytégui hasy"
"Pelo chão também escorreu seu sangue?","¿Ore ruguy osyry avei yvy ári?"
"Abre a porta de tua casa","Ehechamína nde róga rokẽ"
"Qual é também o alimento de nossa alma?","¿Mba'eichaguápa avei tembi'u ñane ánga?"
"Meu ex-marido há de ser certamente","Che ex-marã katuete"
"Eis que esse vem","Ko'ápe ou"
"Hei de levar todos para meu fogo, com seus amigos","Aheja opavave che tatápe, iñirũnguéra ndive"
"Estou deitado de bruços","A'e hína che py'a potĩ"
"Vê minha doença para que te compadeças de minha alma","Ehecha che mba'asy rehe che ánga rehe reñembyasy haguã"
"Nós estamos juntos","Ñande oñondivepa"
"Em terra não os fazendo transformar","Yvype ndojejapóiva chupekuéra omohenda"
"Logo, vencendo os temiminós, habitantes daqui, frequentá-los-ei","Upéi, che ahechaukáta umi iñañáva ko'ápe."
"Eu enviuvei","Che viúda"
"Eis que grandemente a aflição oprime minha alma","Ko'ápe che py'a potĩ tuichaite che py'a potĩ"
"Ah, se viesse!","Aheja ramo jepe."
"Eu sou mocho","Che niko che mbarakaja"
"Atravessando o céu foi, deixando-te","Mbyja rupi oho, nde reheve"
"Eu sou rechonchudinho","Che ha'e peteĩ mbarakaja'i"
"Tu, em teus braços, Jesus ergueste para alimentá-lo um pouco em teu seio","Nde, nde po'i, Jesús opu'ã omokyre'ỹ haguã chupe nde ypýpe"
"o que proclama suas palavras","ohesapukáva iñe'ẽ"
"Foste à roça no domingo ou em algum dia de guarda?","Reho va'ekue ro'o domingo térã ambue áragua?"
"Arranquei-lhe a casca","Aheja'o chupe ipya'e"
"Como estava Jesus quando ele o fez sair?","¿Mbaʼéichapa Jesús oñeñandu ohejárõ guare chupe?"
"desde minha vinda","Che aju guive"
"Ele é lampeiro como uma onça, seguindo nosso rastro","Ha'e ipya'e peteĩ onga, ohóva ñande rapykuéri"
"Veio também sua panela para que os cozinhe adiante de mim","Ogueru avei nde ygarata ha'e osê haguã che renondépe"
"Dentro de um túmulo de pedra o puseram","Peteî ita guýpe omoĩ hikuái"
"Aparei-o","Aheja chupe"
"Eu tenho peçonha","Che areko peteî mba'e"
"Tinjo as pernas","Che akãra'ã"
